Matcher Name 1,Matcher Name 2,Alpha,Significantly Different,Not Significantly Different,Cannot be Determined
COMBINED_SynOrHyp,babelnet_synOrHyp,0.05,7,21,0
babelnet_synOrHyp,COMBINED_SynOrHyp,0.05,7,21,0
babelnet_synOrHyp,babelnet_synOrHyp,0.05,0,28,0
COMBINED_SynOrHyp,COMBINED_SynOrHyp,0.05,0,28,0
COMBINED_SynOrHyp,wikidata_synOrHyp,0.05,6,22,0
wikidata_synOrHyp,COMBINED_SynOrHyp,0.05,6,22,0
babelnet_synOrHyp,webIsClassic_synOrHyp,0.05,6,22,0
webIsClassic_synOrHyp,babelnet_synOrHyp,0.05,6,22,0
wordnet_synOrHyp,dbpedia_synOrHyp,0.05,12,16,0
dbpedia_synOrHyp,wordnet_synOrHyp,0.05,12,16,0
wiktionary_synOrHyp,wiktionary_synOrHyp,0.05,0,28,0
wikidata_synOrHyp,webIsClassic_synOrHyp,0.05,6,22,0
webIsClassic_synOrHyp,wikidata_synOrHyp,0.05,6,22,0
dbpedia_synOrHyp,dbpedia_synOrHyp,0.05,0,28,0
webIsClassic_synOrHyp,wordnet_synOrHyp,0.05,4,24,0
wordnet_synOrHyp,webIsClassic_synOrHyp,0.05,4,24,0
wikidata_synOrHyp,wiktionary_synOrHyp,0.05,10,18,0
wiktionary_synOrHyp,wikidata_synOrHyp,0.05,10,18,0
wiktionary_synOrHyp,babelnet_synOrHyp,0.05,7,21,0
babelnet_synOrHyp,wiktionary_synOrHyp,0.05,7,21,0
wiktionary_synOrHyp,COMBINED_SynOrHyp,0.05,10,18,0
COMBINED_SynOrHyp,wiktionary_synOrHyp,0.05,10,18,0
dbpedia_synOrHyp,webIsClassic_synOrHyp,0.05,8,20,0
webIsClassic_synOrHyp,dbpedia_synOrHyp,0.05,8,20,0
babelnet_synOrHyp,wordnet_synOrHyp,0.05,15,13,0
wordnet_synOrHyp,babelnet_synOrHyp,0.05,15,13,0
dbpedia_synOrHyp,COMBINED_SynOrHyp,0.05,11,17,0
COMBINED_SynOrHyp,dbpedia_synOrHyp,0.05,11,17,0
webIsClassic_synOrHyp,webIsClassic_synOrHyp,0.05,0,28,0
wordnet_synOrHyp,wiktionary_synOrHyp,0.05,11,17,0
wiktionary_synOrHyp,wordnet_synOrHyp,0.05,11,17,0
COMBINED_SynOrHyp,wordnet_synOrHyp,0.05,7,21,0
wordnet_synOrHyp,COMBINED_SynOrHyp,0.05,7,21,0
wiktionary_synOrHyp,dbpedia_synOrHyp,0.05,21,7,0
dbpedia_synOrHyp,wiktionary_synOrHyp,0.05,21,7,0
wikidata_synOrHyp,dbpedia_synOrHyp,0.05,11,17,0
wikidata_synOrHyp,wikidata_synOrHyp,0.05,0,28,0
wiktionary_synOrHyp,webIsClassic_synOrHyp,0.05,3,25,0
dbpedia_synOrHyp,wikidata_synOrHyp,0.05,11,17,0
webIsClassic_synOrHyp,wiktionary_synOrHyp,0.05,3,25,0
webIsClassic_synOrHyp,COMBINED_SynOrHyp,0.05,3,25,0
COMBINED_SynOrHyp,webIsClassic_synOrHyp,0.05,3,25,0
babelnet_synOrHyp,dbpedia_synOrHyp,0.05,9,19,0
babelnet_synOrHyp,wikidata_synOrHyp,0.05,7,21,0
dbpedia_synOrHyp,babelnet_synOrHyp,0.05,9,19,0
wikidata_synOrHyp,babelnet_synOrHyp,0.05,7,21,0
wordnet_synOrHyp,wordnet_synOrHyp,0.05,0,28,0
wikidata_synOrHyp,wordnet_synOrHyp,0.05,11,17,0
wordnet_synOrHyp,wikidata_synOrHyp,0.05,11,17,0
