Matcher Name 1,Matcher Name 2,Alpha,Significantly Different,Not Significantly Different
COMBINED_SynOrHyp,babelnet_synOrHyp,0.05,3,1
babelnet_synOrHyp,COMBINED_SynOrHyp,0.05,3,1
babelnet_synOrHyp,babelnet_synOrHyp,0.05,0,4
COMBINED_SynOrHyp,COMBINED_SynOrHyp,0.05,0,4
COMBINED_SynOrHyp,wikidata_synOrHyp,0.05,3,1
wikidata_synOrHyp,COMBINED_SynOrHyp,0.05,3,1
babelnet_synOrHyp,webIsClassic_synOrHyp,0.05,3,1
webIsClassic_synOrHyp,babelnet_synOrHyp,0.05,3,1
wordnet_synOrHyp,dbpedia_synOrHyp,0.05,4,0
dbpedia_synOrHyp,wordnet_synOrHyp,0.05,4,0
wiktionary_synOrHyp,wiktionary_synOrHyp,0.05,0,4
wikidata_synOrHyp,webIsClassic_synOrHyp,0.05,3,1
webIsClassic_synOrHyp,wikidata_synOrHyp,0.05,3,1
dbpedia_synOrHyp,dbpedia_synOrHyp,0.05,0,4
webIsClassic_synOrHyp,wordnet_synOrHyp,0.05,3,1
wordnet_synOrHyp,webIsClassic_synOrHyp,0.05,3,1
wikidata_synOrHyp,wiktionary_synOrHyp,0.05,3,1
wiktionary_synOrHyp,wikidata_synOrHyp,0.05,3,1
wiktionary_synOrHyp,babelnet_synOrHyp,0.05,3,1
babelnet_synOrHyp,wiktionary_synOrHyp,0.05,3,1
wiktionary_synOrHyp,COMBINED_SynOrHyp,0.05,3,1
COMBINED_SynOrHyp,wiktionary_synOrHyp,0.05,3,1
dbpedia_synOrHyp,webIsClassic_synOrHyp,0.05,3,1
webIsClassic_synOrHyp,dbpedia_synOrHyp,0.05,3,1
babelnet_synOrHyp,wordnet_synOrHyp,0.05,4,0
wordnet_synOrHyp,babelnet_synOrHyp,0.05,4,0
dbpedia_synOrHyp,COMBINED_SynOrHyp,0.05,4,0
COMBINED_SynOrHyp,dbpedia_synOrHyp,0.05,4,0
webIsClassic_synOrHyp,webIsClassic_synOrHyp,0.05,0,4
wordnet_synOrHyp,wiktionary_synOrHyp,0.05,4,0
wiktionary_synOrHyp,wordnet_synOrHyp,0.05,4,0
COMBINED_SynOrHyp,wordnet_synOrHyp,0.05,3,1
wordnet_synOrHyp,COMBINED_SynOrHyp,0.05,3,1
wiktionary_synOrHyp,dbpedia_synOrHyp,0.05,4,0
dbpedia_synOrHyp,wiktionary_synOrHyp,0.05,4,0
wikidata_synOrHyp,dbpedia_synOrHyp,0.05,4,0
wikidata_synOrHyp,wikidata_synOrHyp,0.05,0,4
wiktionary_synOrHyp,webIsClassic_synOrHyp,0.05,3,1
dbpedia_synOrHyp,wikidata_synOrHyp,0.05,4,0
webIsClassic_synOrHyp,wiktionary_synOrHyp,0.05,3,1
webIsClassic_synOrHyp,COMBINED_SynOrHyp,0.05,3,1
COMBINED_SynOrHyp,webIsClassic_synOrHyp,0.05,3,1
babelnet_synOrHyp,dbpedia_synOrHyp,0.05,3,1
babelnet_synOrHyp,wikidata_synOrHyp,0.05,3,1
dbpedia_synOrHyp,babelnet_synOrHyp,0.05,3,1
wikidata_synOrHyp,babelnet_synOrHyp,0.05,3,1
wordnet_synOrHyp,wordnet_synOrHyp,0.05,0,4
wikidata_synOrHyp,wordnet_synOrHyp,0.05,4,0
wordnet_synOrHyp,wikidata_synOrHyp,0.05,4,0
